,OFNS_DESC
ASSAULT 3 & RELATED OFFENSES,8360
DANGEROUS DRUGS,6033
PETIT LARCENY,5588
VEHICLE AND TRAFFIC LAWS,4362
FELONY ASSAULT,3991
MISCELLANEOUS PENAL LAW,3330
CRIMINAL MISCHIEF & RELATED OF,2767
GRAND LARCENY,2602
DANGEROUS WEAPONS,2377
ROBBERY,2221
OFFENSES AGAINST PUBLIC ADMINI,2061
FORGERY,1380
INTOXICATED & IMPAIRED DRIVING,1311
OTHER OFFENSES RELATED TO THEF,1289
OFF. AGNST PUB ORD SENSBLTY &,1208
SEX CRIMES,1167
BURGLARY,1139
OTHER TRAFFIC INFRACTION,1030
CRIMINAL TRESPASS,977
POSSESSION OF STOLEN PROPERTY,565
OFFENSES INVOLVING FRAUD,338
PROSTITUTION & RELATED OFFENSES,337
OTHER STATE LAWS (NON PENAL LA,317
FOR OTHER AUTHORITIES,302
NYS LAWS-UNCLASSIFIED FELONY,301
OFFENSES AGAINST THE PERSON,287
MURDER & NON-NEGL. MANSLAUGHTE,268
RAPE,267
GRAND LARCENY OF MOTOR VEHICLE,250
FRAUDS,249
BURGLAR'S TOOLS,195
ADMINISTRATIVE CODE,194
OTHER STATE LAWS,193
GAMBLING,165
INTOXICATED/IMPAIRED DRIVING,157
UNAUTHORIZED USE OF A VEHICLE,146
DISORDERLY CONDUCT,127
THEFT OF SERVICES,114
ALCOHOLIC BEVERAGE CONTROL LAW,102
THEFT-FRAUD,74
ARSON,36
FRAUDULENT ACCOSTING,35
MOVING INFRACTIONS,30
KIDNAPPING & RELATED OFFENSES,24
OFFENSES RELATED TO CHILDREN,23
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,19
HARRASSMENT 2,15
OTHER STATE LAWS (NON PENAL LAW),12
ENDAN WELFARE INCOMP,12
OFFENSES AGAINST PUBLIC SAFETY,10
ESCAPE 3,5
NEW YORK CITY HEALTH CODE,5
JOSTLING,4
KIDNAPPING,3
HOMICIDE-NEGLIGENT-VEHICLE,3
ADMINISTRATIVE CODES,2
CHILD ABANDONMENT/NON SUPPORT,2
ANTICIPATORY OFFENSES,2
"LOITERING/GAMBLING (CARDS, DIC",1
DISRUPTION OF A RELIGIOUS SERV,1
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",1
